epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,365.037,1.63693,5.31516,1.11331,0.04354,0.02911,0.03831,0.03166,1.34968,5.19934,0.9223,0.000125865,0.000125865,0.000125865
2,719.379,1.42113,3.74925,0.97522,0.70565,0.08172,0.11344,0.07844,1.32626,3.8446,0.91788,0.000249166,0.000249166,0.000249166
3,1081.59,1.33179,3.01259,0.94377,0.34193,0.17467,0.19143,0.13815,1.28513,3.21014,0.92365,0.000367384,0.000367384,0.000367384
4,1427.31,1.28559,2.56349,0.94409,0.40971,0.30175,0.2861,0.20231,1.24544,2.528,0.91964,0.000362131,0.000362131,0.000362131
5,1881.38,1.2122,2.23707,0.93609,0.4951,0.30719,0.3147,0.21956,1.21817,2.38945,0.9216,0.000354508,0.000354508,0.000354508
6,2213.74,1.17609,2.08287,0.92739,0.60476,0.38716,0.39701,0.2826,1.1531,2.0633,0.92646,0.000346885,0.000346885,0.000346885
7,2631.89,1.16522,1.93677,0.9303,0.58534,0.44518,0.44834,0.31817,1.15732,1.93157,0.92085,0.000339262,0.000339262,0.000339262
8,2991.29,1.14586,1.82757,0.9236,0.5067,0.53573,0.48688,0.34647,1.13229,1.87757,0.91404,0.000331639,0.000331639,0.000331639
9,3332.87,1.1172,1.70365,0.90151,0.59718,0.5096,0.51076,0.35915,1.15944,1.82504,0.91296,0.000324016,0.000324016,0.000324016
10,3678.28,1.10688,1.61439,0.90765,0.62431,0.52141,0.53701,0.38956,1.13062,1.70578,0.91708,0.000316393,0.000316393,0.000316393
11,4030.39,1.0943,1.58033,0.90785,0.65595,0.5272,0.53841,0.38963,1.0922,1.65606,0.90866,0.00030877,0.00030877,0.00030877
12,4366.88,1.07954,1.47045,0.90455,0.7056,0.51891,0.55906,0.40275,1.12079,1.59247,0.92236,0.000301147,0.000301147,0.000301147
13,4706.06,1.06679,1.4631,0.89562,0.68922,0.56386,0.57091,0.40507,1.09677,1.51908,0.90605,0.000293524,0.000293524,0.000293524
14,5046.02,1.05292,1.41604,0.88889,0.70005,0.54281,0.57277,0.41519,1.05497,1.47704,0.89767,0.000285901,0.000285901,0.000285901
15,5387.32,1.0479,1.3212,0.88447,0.70979,0.56552,0.59105,0.42152,1.1079,1.46919,0.90833,0.000278278,0.000278278,0.000278278
16,5722.3,1.03987,1.28482,0.88266,0.69204,0.58076,0.59215,0.42711,1.05527,1.40766,0.90099,0.000270655,0.000270655,0.000270655
17,6060.79,1.01983,1.2814,0.88807,0.75569,0.55543,0.59653,0.43743,1.07193,1.40184,0.90025,0.000263032,0.000263032,0.000263032
18,6395.33,1.00795,1.2274,0.88454,0.71804,0.58468,0.60836,0.43667,1.08705,1.36651,0.90511,0.000255409,0.000255409,0.000255409
19,6733.79,0.99744,1.19979,0.88952,0.77947,0.60308,0.62047,0.44872,1.05134,1.3153,0.90234,0.000247786,0.000247786,0.000247786
20,7072.69,1.00058,1.1802,0.87535,0.69767,0.60081,0.61245,0.44868,1.08884,1.32156,0.91172,0.000240163,0.000240163,0.000240163
21,7422.49,0.97286,1.14989,0.88124,0.73026,0.59634,0.61932,0.45195,1.04898,1.29185,0.89433,0.00023254,0.00023254,0.00023254
22,7769.88,0.95663,1.10313,0.87378,0.74518,0.60646,0.62721,0.45208,1.03465,1.2683,0.89622,0.000224917,0.000224917,0.000224917
23,8107.76,0.97598,1.11127,0.87649,0.7934,0.59919,0.62355,0.45232,1.05064,1.20852,0.89993,0.000217294,0.000217294,0.000217294
24,8452.77,0.96194,1.057,0.87376,0.80002,0.57123,0.61638,0.45573,1.01819,1.19288,0.89494,0.000209671,0.000209671,0.000209671
25,8809.71,0.98286,1.07556,0.88014,0.80617,0.5995,0.64017,0.46448,1.06422,1.20734,0.90406,0.000202048,0.000202048,0.000202048
26,9156.73,0.95478,1.04418,0.87101,0.75374,0.60841,0.63033,0.45961,1.05397,1.20634,0.89741,0.000194425,0.000194425,0.000194425
27,9493.22,0.96294,1.05243,0.88114,0.75179,0.63401,0.63636,0.46908,1.03194,1.14111,0.89726,0.000186802,0.000186802,0.000186802
28,9824.23,0.93948,1.02362,0.86873,0.79191,0.60997,0.64019,0.47208,1.00382,1.14112,0.8872,0.000179179,0.000179179,0.000179179
29,10165.1,0.95561,1.02687,0.88634,0.79693,0.59849,0.62892,0.46521,1.0234,1.16868,0.89198,0.000171556,0.000171556,0.000171556
30,10500.8,0.9471,1.00717,0.8652,0.78858,0.60381,0.63727,0.4705,1.02909,1.11512,0.89645,0.000163933,0.000163933,0.000163933
31,10834.4,0.93726,0.971,0.87094,0.83183,0.60285,0.65125,0.48152,1.0165,1.118,0.88626,0.00015631,0.00015631,0.00015631
32,11164.3,0.92483,0.95962,0.86488,0.75488,0.63789,0.6365,0.46936,1.01805,1.13034,0.88966,0.000148687,0.000148687,0.000148687
33,11502.5,0.91271,0.94835,0.87276,0.76446,0.61965,0.63988,0.47206,1.00988,1.12297,0.88992,0.000141064,0.000141064,0.000141064
34,11844.4,0.92622,0.95127,0.86421,0.75451,0.63657,0.63685,0.47393,1.00286,1.12114,0.88635,0.000133441,0.000133441,0.000133441
35,12186.6,0.89252,0.92318,0.86121,0.82211,0.59835,0.64483,0.48096,1.00984,1.08402,0.88694,0.000125818,0.000125818,0.000125818
36,12544.1,0.92474,0.90517,0.8709,0.811,0.61661,0.64557,0.48255,1.00704,1.09901,0.88468,0.000118195,0.000118195,0.000118195
37,12886.5,0.87994,0.88967,0.8591,0.77997,0.61795,0.64486,0.48514,1.02244,1.09248,0.88545,0.000110572,0.000110572,0.000110572
38,13223.6,0.91524,0.88444,0.86578,0.76147,0.64409,0.64939,0.477,1.00623,1.07705,0.88164,0.000102949,0.000102949,0.000102949
39,13558.6,0.88842,0.87606,0.86602,0.80152,0.63024,0.63846,0.47513,0.99123,1.07997,0.88217,9.5326e-05,9.5326e-05,9.5326e-05
40,13897.9,0.8974,0.88387,0.86699,0.77219,0.64659,0.64326,0.47583,0.98241,1.07928,0.88398,8.7703e-05,8.7703e-05,8.7703e-05
41,14231.2,0.88267,0.98313,0.85425,0.79709,0.61093,0.64058,0.47381,1.00884,1.10101,0.88705,8.008e-05,8.008e-05,8.008e-05
42,14565.6,0.87065,0.93113,0.86179,0.77893,0.62198,0.63617,0.47093,0.99401,1.07198,0.88338,7.2457e-05,7.2457e-05,7.2457e-05
43,14908.6,0.85563,0.91446,0.8548,0.82769,0.62348,0.63815,0.47574,0.9961,1.07432,0.88221,6.4834e-05,6.4834e-05,6.4834e-05
44,15249.4,0.84785,0.89127,0.85464,0.79672,0.62737,0.63975,0.47647,0.99665,1.06019,0.88219,5.7211e-05,5.7211e-05,5.7211e-05
45,15591.2,0.84154,0.88075,0.85628,0.80221,0.62621,0.64368,0.47658,1.00292,1.06541,0.88335,4.9588e-05,4.9588e-05,4.9588e-05
46,15934.6,0.84816,0.86924,0.85471,0.81964,0.62917,0.65011,0.48379,1.00788,1.03905,0.88458,4.1965e-05,4.1965e-05,4.1965e-05
47,16277,0.85185,0.87883,0.84338,0.82227,0.60708,0.64448,0.48186,1.0066,1.04995,0.88511,3.4342e-05,3.4342e-05,3.4342e-05
48,16619.3,0.84301,0.86441,0.85008,0.78246,0.63514,0.64185,0.47709,1.01029,1.06405,0.8863,2.6719e-05,2.6719e-05,2.6719e-05
49,16957.8,0.84181,0.87443,0.85341,0.79345,0.6285,0.64313,0.48081,1.00433,1.04913,0.88531,1.9096e-05,1.9096e-05,1.9096e-05
50,17303.5,0.82036,0.85385,0.85288,0.81691,0.62163,0.64274,0.48101,1.00261,1.04958,0.88562,1.1473e-05,1.1473e-05,1.1473e-05
